code,description
EDU_audd_3072,"Øst- og sydøsteuropastudier, grækenlandsstudier, bach."
EDU_audd_3073,"Øst- og sydøsteuropastudier, polsk, bach."
EDU_audd_3074,"Øst- og sydøsteuropastudier, russisk, bach."
EDU_audd_3075,"Østeuropastudier, cand.mag."
EDU_audd_3076,"Economics and Business administration, cand.soc."
EDU_audd_3077,"Erhvervsøkonomi-virksomhedskommunikation, cand.merc.(kom)"
EDU_audd_3078,"Advanced Economics and Finance, cand.oecon."
EDU_audd_3079,"Innovation og videnøkonomi, cand.oecon."
EDU_audd_3080,"Statskundskab, bach."
EDU_audd_3081,"Økonomi - Nationaløkonomi, cand.polit."
EDU_audd_3082,"Politik og Administration, cand.scient.adm."
EDU_audd_3083,"HA(kom.) erhvervsøkonomi-virksomhedskommunikation, bach."
EDU_audd_3084,"Marketing and management communication, bach."
EDU_audd_3085,"Kulturgeografi, cand.scient."
EDU_audd_3086,"Geoinformatik (MTM), master"
EDU_audd_3087,"Klassisk filologi, bach."
EDU_audd_3088,"Græsk, klassisk, bach."
EDU_audd_3089,"Latin, bach."
EDU_audd_3090,"Oldtidskundskab, bach."
EDU_audd_3091,"Vestasiens oldtidshistorie, cand.mag."
EDU_audd_3092,"Interdisciplinære naturvidenskabelige studier, cand.scient."
EDU_audd_3093,"Oplevelsesdesign, cand.it."
EDU_audd_3094,"Digital design, bach."
EDU_audd_3095,"Digital design, cand.it."
EDU_audd_3096,"Interaktive digitale medier, cand.it."
EDU_audd_3097,"It-produktudvikling, bach."
EDU_audd_3098,"It og læring, organisatorisk omstilling, cand.it."
EDU_audd_3099,"Information Architecture, cand.it."
EDU_audd_3100,"Informationsvidenskab, bach."
EDU_audd_3101,"Informationsvidenskab, cand.it."
EDU_audd_3102,"Matrikulær informatik, master"
EDU_audd_3103,"Security and mobile computing, kand."
EDU_audd_3104,"Digitalisering og applikationsudvikling, cand.it."
EDU_audd_3105,"Software, ing.bach."
EDU_audd_3106,"Software, cand.polyt."
EDU_audd_3107,"Softwarekonstruktion, cand.polyt."
EDU_audd_3108,"Computer Engineering, cand.scient.tech."
EDU_audd_3109,"Digitale medieteknologier, cand.scient.tech."
EDU_audd_3110,"Design and Innovation, cand.polyt."
EDU_audd_3111,"Produktudvikling og innovation, cand.scient.tech."
EDU_audd_3112,"Industrial Engineering and Management, cand.polyt."
EDU_audd_3113,"Operations and Innivation Management, cand.scient.tech."
